playerId,playerName,club,teamName,selectionId,selectionTeam,category,status,sourceId
hk-nl-f-amsterdam-anne-veenendaal,Anne Veenendaal,Amsterdam,Amsterdam D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-den-bosch-danique-van-der-veerdonk,Danique van der Veerdonk,Den Bosch,Den Bosch D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-schc-xan-de-waard,Xan de Waard,SCHC,SCHC D1,oranje_dames_current,Oranje Dames,senior_national_team,active_current_page,hockeynl_oranje_dames_current
hk-nl-f-hdm-delany-van-den-broek,Delany van den Broek,HDM,HDM D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-amsterdam-renske-balemans,Renske Balemans,Amsterdam,Amsterdam D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-amsterdam-merle-blaffert,Merle Blaffert,Amsterdam,Amsterdam D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-hdm-phileine-van-den-bosch,Phileine van den Bosch,HDM,HDM D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-pinoke-marit-van-buul,Marit van Buul,Pinoké,Pinoké D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-rotterdam-bobbi-dijk,Bobbi Dijk,Rotterdam,Rotterdam D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-bloemendaal-phileine-hazen,Phileine Hazen,Bloemendaal,Bloemendaal D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-schc-isa-van-heerde,Isa van Heerde,SCHC,SCHC D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-kampong-veere-ter-horst,Veere ter Horst,Kampong,Kampong D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-hurley-olivia-huisman,Olivia Huisman,Hurley,Hurley D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-kampong-iris-de-kemp,Iris de Kemp,Kampong,Kampong D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-amsterdam-katerina-langedijk,Katerina Langedijk,Amsterdam,Amsterdam D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-hurley-dymph-luttge,Dymph Luttge,Hurley,Hurley D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-hurley-annelotte-nijhuis,Annelotte Nijhuis,Hurley,Hurley D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-den-bosch-babs-reijnen,Babs Reijnen,Den Bosch,Den Bosch D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
hk-nl-f-pinoke-florine-rodenburg,Florine Rodenburg,Pinoké,Pinoké D1,jong_oranje_dames_training_2026,Jong Oranje Dames,u21_training_group,active_training_group_2026,hockeynl_u21_training_groups_2026
